"News#","Title Content","Matched Words","Score","Polarity"
"83","NASDAQ SHORT INTEREST IN MARCH FALLS","{falls=-1}","-1","Negative"
"84","GOLDMAN SACHS SELLS SIGNET &lt;SBK> UNIT NOTES","{}","0","Neutral"
"85","NMS PHARMACEUTICAL &lt;NMSI> SETS NEW BLOOD TEST","{}","0","Neutral"
"86","AMERICAN CAN &lt;AC> SELLS CONVERTIBLE EUROBONDS","{}","0","Neutral"
"87","GENCORP &lt;GY> TAKEOVER GROUP CANCELS HEARING","{}","0","Neutral"
"88","GENCORP &lt;GY> FIXES RIGHTS SEPARATION DATE","{}","0","Neutral"
"89","CANADA ENERGY MINISTER TO MAKE STATEMENT","{}","0","Neutral"
"90","AMERICAN INTERNATIONAL &lt;AIG> SELLS AFRICAN UNIT","{}","0","Neutral"
"91","OXFORD INDUSTRIES INC &lt;OXM> 3RD QTR FEB 27","{}","0","Neutral"
"92","UNION TAKES AMERICAN AIRLINES TO COURT","{}","0","Neutral"
"93","PORTUGAL MAY HAVE PURCHASED U.S. CORN","{}","0","Neutral"
"94","TAIWAN TENDERING THURSDAY FOR U.S. CORN","{}","0","Neutral"
"95","SRI LANKA TENDERING OVERNIGHT FOR WHEAT","{}","0","Neutral"
"96","BRAZIL ANNOUNCES NEW PLANNING MINISTER","{}","0","Neutral"
"97","&lt;DIGIGRAPHIC SYSTEMS CORP> 4TH QTR OPER LOSS","{loss=-1}","-1","Negative"
"98","BAYOU &lt;BYOU> IN DEFINITIE MERGER AGREEMENT","{}","0","Neutral"
"99","APACHE &lt;APA> FILES FOR 100 MLN DLR OFFERING","{}","0","Neutral"
"100","TRANSCONTINENTAL &lt;TGP> FILES NEW OFFER","{}","0","Neutral"
"101","COMPUTER IDENTICS CORP &lt;CIDN> 4TH QTR","{}","0","Neutral"
"102","FLEET TO ACQUIRE ASSETS OF MARK IV &lt;IV> UNIT","{}","0","Neutral"
"103","MIKRON INSTRUMENT CO &lt;MIKR> 1ST QTR JAN 31","{}","0","Neutral"
"104","GOLDEN NORTH HAS ENCOURAGING DRILL RESULTS","{encouraging=1, golden=1}","2","Positive"
"105","UNISYS &lt;UIS> GETS ORDER FROM SWEDEN","{}","0","Neutral"
"106","HAWKEYE &lt;HWKB> ISSUES PREFERENCE STOCK","{issues=-1}","-1","Negative"
"107","AUSTN FEB ANNUAL M3 MONEY SUPPLY RISES 11.2 PCT","{}","0","Neutral"
"108","PS GROUP &lt;PSG>, USAIR &lt;U> MOVE UP DEADLINE","{}","0","Neutral"
"109","TANDON &lt;TCOR> SAYS SEARS &lt;S> STILL CUSTOMER","{}","0","Neutral"
"110","MERGERS, PUBLIC OFFERS SEEN AMONG CAR DEALERS","{}","0","Neutral"
"111","COMPREHENSIVE CARE CORP &lt;CMPH> 3RD QTR NET","{comprehensive=1}","1","Positive"
"112","CHAPMAN &lt;CHPN> IN RESTRUCTURING","{restructuring=1}","1","Positive"
"113","VESTAR INC &lt;VSTR> YEAR LOSS","{loss=-1}","-1","Negative"
"114","UNIVATION INC &lt;UNIV> EXPANDS EUROPE DISTRIBUTION","{}","0","Neutral"
"115","&lt;STERLING BANCORP> YEAR NET","{}","0","Neutral"
"116","FIRST NEW HAMPSHIRE BANKS INC DIV","{}","0","Neutral"
"117","HOUSE OF FABRICS &lt;HF> QUARTERLY DIVIDEND","{}","0","Neutral"
"118","Bank of Japan bought 200 to 300 mln dlrs this morning, dealers said.","{}","0","Neutral"
"119","MIAMI-Brazil and bank advisory committee agree to 60-day extension on credit lines","{}","0","Neutral"
"120","JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY","{modest=1}","1","Positive"
"121","Miami-Brazil says it expects to make no interest payments before March 31","{}","0","Neutral"
"122","CORRECTED-MIAMI-Brazil, bank committee will transmit request for 60-day credit extension","{}","0","Neutral"
"123","BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST","{}","0","Neutral"
"124","JAPAN'S 1986/87 SUGAR CANE OUTPUT SEEN FALLING","{falling=-1}","-1","Negative"
"125","INDIAN ROCKET LAUNCH FAILS","{fails=-1}","-1","Negative"
"126","AUSTRALIA'S OPPOSITION PARTY GAINING POPULARITY","{gaining=1, opposition=-1}","0","Neutral"
"127","WEEKS PETROLEUM LTD &lt;WPMA.MEL> CALENDAR 1986","{}","0","Neutral"
"128","Bank of Japan keeps intervening to hold dollar above 149 yen, brokers","{}","0","Neutral"
"129","JAPAN INTERVENING TO KEEP DOLLAR UP, BROKERS","{}","0","Neutral"
"130","BELL GROUP ISSUING 200 MLN IN CONVERTIBLE BONDS","{}","0","Neutral"
"131","Current exchange rates almost within levels agreed by major nations - Sumita","{}","0","Neutral"
"132","Sumita says major nations cooperated to stabilise currencies.","{}","0","Neutral"
"133","THAILAND'S FOREIGN RESERVES FALL IN FEBRUARY","{fall=-1}","-1","Negative"
"134","EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA","{}","0","Neutral"
"135","N.Z. TRADE SURPLUS 119.1 MLN DLRS IN FEBRUARY","{}","0","Neutral"
"136","MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE","{issue=-1}","-1","Negative"
"137","Sumita says Bank of Japan has no intention of lowering its discount rate","{}","0","Neutral"
"138","JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA","{}","0","Neutral"
"139","JARDINE MATHESON PROFITS SEEN UP SHARPLY IN 1986","{sharply=-1}","-1","Negative"
"140","HU YAOBANG APPEARS AT CHINA PARLIAMENTARY SESSION","{}","0","Neutral"
"141","FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS","{}","0","Neutral"
"142","CHINA'S FIRST JOINT VENTURE BANK REPORTS PROFIT","{}","0","Neutral"
"143","BANGLADESH'S PAYMENTS DEFICIT NARROWS IN OCTOBER","{}","0","Neutral"
"144","PEKING FACES WATER RATIONING","{}","0","Neutral"
"145","U.S.-CHINA CIGARETTE FILTER JOINT VENTURE SET UP","{}","0","Neutral"
"146","TWO JAPANESE STEELMAKERS TO CUT CAPITAL SPENDING","{}","0","Neutral"
"147","NISSAN AFFILIATE TO ACQUIRE U.S. AUTOPARTS MAKER","{}","0","Neutral"
"148","DUTCH STATE LAUNCHES NEW EIGHT YEAR BULLET AT 6-1/4 PCT - OFFICIAL","{}","0","Neutral"
"149","YEN MAY RISE TO 140 TO THE DOLLAR, NIKKEIREN SAYS","{}","0","Neutral"
"150","SINGAPORE SECURITIES MARKET CONSIDERING CHANGES","{}","0","Neutral"
"151","NEW DUTCH BULLET STATE LOAN AT 6-1/4 PCT DUE 1995","{}","0","Neutral"
"152","BRUSSELS - Ferruzzi says it will pay 630 mln dlrs to CPC International for European mills.","{}","0","Neutral"
"153","VIETNAM TO RESETTLE 300,000 ON STATE FARMS IN 1987","{}","0","Neutral"
"154","EC MINISTERS FAIL TO END DEADLOCK ON RESEARCH PLAN","{fail=-1, deadlock=-1}","-2","Negative"
"155","MADAGASCAR EXTENDS AMOCO OIL EXPLORATION AGREEMENT","{}","0","Neutral"
"156","FERRUZZI DEAL WITH CPC WORTH 630 MLN DLRS","{worth=1}","1","Positive"
"157","AIRLINES CAN INCREASE HONG KONG/MANILA FLIGHTS","{}","0","Neutral"
"158","SWIRE PACIFIC LTD &lt;SWPC.HKG> YEAR 1986","{}","0","Neutral"
"159","BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion","{}","0","Neutral"
"160","BAT INDUSTRIES PLC &lt;BTI.L> 1986 YEAR","{}","0","Neutral"
"161","SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS","{issue=-1, bonus=1}","0","Neutral"
"162","Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources","{}","0","Neutral"
"163","SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR","{}","0","Neutral"
"164","NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION","{}","0","Neutral"
"165","DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT","{fall=-1}","-1","Negative"
"166","JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES","{}","0","Neutral"
"167","BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS","{}","0","Neutral"
"168","ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT","{}","0","Neutral"
"169","ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND","{issues=-1}","-1","Negative"
"170","MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES","{}","0","Neutral"
"171","BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT","{}","0","Neutral"
"172","GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS","{}","0","Neutral"
"173","CITIBANK LAUNCHES CURRENCY WARRANTS","{}","0","Neutral"
"174","MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL","{}","0","Neutral"
"175","BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS","{}","0","Neutral"
"176","SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER","{}","0","Neutral"
"177","BICC PLC &lt;BICC.L> 1986 YEAR","{}","0","Neutral"
"178","TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR","{}","0","Neutral"
"179","PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150","{killed=-1}","-1","Negative"
"180","CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS","{reforms=1}","1","Positive"
"181","NIPPON STEEL TO REDUCE DIVIDEND","{}","0","Neutral"
"182","BAT SEES STRONG PERFORMANCE FROM ALL SECTORS","{strong=1}","1","Positive"
"183","CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER","{crisis=-1, premier=1}","0","Neutral"
"184","TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY","{sharply=-1}","-1","Negative"
"185","BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT","{wins=1}","1","Positive"
"186","JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT","{}","0","Neutral"
"187","BABCOCK INTERNATIONAL PLC &lt;BABK.L> YEAR 1986","{}","0","Neutral"
"188","VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS","{}","0","Neutral"
"189","DELTA GROUP &lt;DLTL.L> YEAR TO JAN 3.","{}","0","Neutral"
"190","PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING","{gold=1}","1","Positive"
"191","BELGIAN PUBLIC DEBT RISES IN FEBRUARY","{debt=-1}","-1","Negative"
"192","BABCOCK EXPECTS FURTHER PROGRESS IN 1987","{progress=1}","1","Positive"
"193","EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL","{}","0","Neutral"
"194","CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS","{}","0","Neutral"
"195","WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN","{}","0","Neutral"
"196","SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER","{}","0","Neutral"
"197","CARGILL U.K. STRIKE TALKS TO RESUME THIS AFTERNOON","{strike=-1}","-1","Negative"
"198","NORWAY ISSUES 60 BILLION YEN EUROBOND","{issues=-1}","-1","Negative"
"199","BROCKWAY AIR TO BUY FIVE SAAB PLANES","{}","0","Neutral"
"200","SAAB-SCANIA LAUNCHES 100 MLN DLR EURO-CP PROGRAM","{}","0","Neutral"
"201","BRITISH COMPOUND FEED PRODUCTION DETAILED","{}","0","Neutral"
"202","KLOECKNER UND CO'S 1986 PROFIT FALLS ABOUT 20 PCT","{falls=-1}","-1","Negative"
"203","MIXED ASIAN REACTION TO NEW RUBBER PACT","{}","0","Neutral"
"204","CIBA-GEIGY, PHILLIPS PETROLEUM IN JOINT VENTURE","{}","0","Neutral"
"205","KRUPP TO BUILD SOUTH KOREAN STEEL PLANT","{}","0","Neutral"
"206","SWIRE EXPECTS CONTINUED GROWTH THIS YEAR","{}","0","Neutral"
"207","UNCERTAINTY SURROUNDS EC SUGAR TENDER RESULT-TRADE","{tender=1}","1","Positive"
"208","ABU DHABI TO REOPEN GULF OILFIELD HIT IN 1986 RAID","{}","0","Neutral"
"209","CHAD SAYS TROOPS KILLED 1,200 LIBYANS IN BATTLE","{killed=-1}","-1","Negative"
"210","RAINBOW LIFTS PROGRESSIVE STAKE TO 52 PCT","{progressive=1}","1","Positive"
"211","BANK OF THAILAND PLANS ITS FIRST BOND ISSUE","{issue=-1}","-1","Negative"
"212","FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS","{}","0","Neutral"
"213","YEN MAY RISE TO 140 TO THE DLR, NIKKEIREN SAYS","{}","0","Neutral"
"214","JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY","{modest=1}","1","Positive"
"215","BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST","{}","0","Neutral"
"216","JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA","{}","0","Neutral"
"217","U.K. MONEY MARKET FORECAST REVISED TO SHOW SURPLUS","{}","0","Neutral"
"218","BANK OF ENGLAND DOES NOT OPERATE IN MONEY MARKET","{}","0","Neutral"
"219","BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS","{}","0","Neutral"
"220","EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA","{}","0","Neutral"
"221","AFGHAN BOMBING TOLL ALMOST 150","{toll=-1}","-1","Negative"
"222","JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES","{}","0","Neutral"
"223","SWIRE UNCOMMITTED ON PROPOSED NEW H.K. AIRPORT","{}","0","Neutral"
"224","CENTRAL BANKS BUY DOLLARS FOR YEN IN LONDON","{}","0","Neutral"
"225","BRAZIL, BANKS FAIL TO MAKE BREAKTHROUGH IN DEBT TALKS","{fail=-1, breakthrough=1, debt=-1}","-1","Negative"
"226","CHINA MUST REFORM IRRATIONAL PRICE SYSTEM, ZHAO","{reform=1, irrational=-1}","0","Neutral"
"227","SEVERE DROUGHT AFFECTS EAST, NORTHEAST THAILAND","{drought=-1, severe=-1}","-2","Negative"
"228","OCEAN TRANSPORT AND TRADING PLC &lt;OTTL.L> YEAR 1986","{}","0","Neutral"
"229","DART GROUP RAISES SUPERMARKETS GENERAL &lt;SGL> BID","{}","0","Neutral"
"230","OLSON INDUSTRIES INC &lt;OLSN> 4TH QTR NET","{}","0","Neutral"
"231","OLSON &lt;OLSN> TO HAVE LOSS FROM EGG UNIT SALE","{loss=-1}","-1","Negative"
"232","JEFFERIES &lt;JEFG> SETS SUPERMARKETS &lt;SGL> MARKET","{}","0","Neutral"
"233","E.D. And F. MAN TO BUY INTO HONG KONG FIRM","{}","0","Neutral"
"234","ORACLE CORP &lt;ORCL> 3RD QTR FEB 28 NET","{}","0","Neutral"
"235","DISNEY &lt;DIS> OPENING EXPERIMENTAL RETAIL OUTLET","{}","0","Neutral"
"236","ENTERRA CORP &lt;EN> 4TH QTR LOSS","{loss=-1}","-1","Negative"
"237","JOHNSTOWN/CONSOLIDATED REALTY TRUST &lt;JCT> NET","{trust=1}","1","Positive"
"238","DURIRON &lt;DURI> COMPLETES VALTEK &lt;VALT> PURCHASE","{}","0","Neutral"
"239","WASHINGTON FEDERAL SAVINGS &lt;WFSL> QUARTERLY DIV","{savings=1}","1","Positive"
"240","SINGER &lt;SMF> GETS TEXAS AIR &lt;TEX> CONTRACT","{}","0","Neutral"
"241","ROWLEY-SCHER &lt;RSCH> TO HAVE LOSS FOR YEAR","{loss=-1}","-1","Negative"
"242","DIXONS SAID IT GOT AND ACCEPTED ONLY 20 PCT OF CYCLOPS SHARES IN TENDER","{tender=1}","1","Positive"
"243","LONDON ON RISE AS TRADING CENTRE IN U.S. DEBT","{debt=-1}","-1","Negative"
"244","MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE","{issue=-1}","-1","Negative"
"245","DIXONS GETS ONLY 20 PCT OF CYCLOPS &lt;CYL> IN BID","{}","0","Neutral"
"246","OPPOSITION SAYS UK GOV'T GAVE ARMS TO CONTRAS","{opposition=-1}","-1","Negative"
"247","BRAZIL ANNOUNCES NEW PLANNING MINISTER","{}","0","Neutral"
"248","CITIBANK LAUNCHES CURRENCY WARRANTS","{}","0","Neutral"
"249","KAUFMAN AND BROAD HOME CORP &lt;KBH> 1ST QTR FEB 28","{}","0","Neutral"
"250","METRO CABLE &lt;METO> TO SELL PARTNERSHIP","{}","0","Neutral"
"251","RENOUF HAS 93.4 PCT OF BENEQUITY &lt;BH> UNITS","{}","0","Neutral"
"252","OIL ANALYST SEES PAPUA NEW GUINEA AS GOOD PROSPECT","{good=1}","1","Positive"
"253","CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COST","{}","0","Neutral"
"254","USAIR GROUP INC &lt;U> SETS QUARTERLY","{}","0","Neutral"
"255","CHINA MUST CUT DEMAND, CONTINUE REFORMS: ZHAO","{reforms=1}","1","Positive"
"256","YUGOSLAVIA SEEKS 600 MLN ECU LOAN FROM EC","{}","0","Neutral"
"257","MCFARLAND &lt;MCFE> TO BUY PETROMINERALS &lt;PTRO>","{}","0","Neutral"
"258","TIMMINCO ACQUIRES UNIVERSAL ADHESIVES","{}","0","Neutral"
"259","&lt;PALOMA PETROLEUM LTD> YEAR NET","{}","0","Neutral"
"260","U.K. MONEY MARKET SURPLUS REVISED TO 250 MLN STG","{}","0","Neutral"
"261","&lt;TECHNIMED CORP> GETS FDA APPROVAL FOR DRUG","{approval=1}","1","Positive"
"262","&lt;AMERICAN RESOURCE CORP LTD> YEAR NET","{}","0","Neutral"
"263","WASTE MANAGEMENT ENDS TENDER OFFER FOR CHEMLAWN","{waste=-1, tender=1}","0","Neutral"
"264","WEST GERMAN JAN COFFEE IMPORTS DOWN ON YEAR-AGO","{}","0","Neutral"
"265","ONE VALLEY BANCORP &lt;OVWV> RAISES QUARTERLY","{}","0","Neutral"
"266","NATIONAL DATA CORP &lt;NDTA> 3RD QTR FEB 28 NET","{}","0","Neutral"
"267","NVHOMES &lt;NVH> SETS TWO-FOR-ONE SPLIT","{split=-1}","-1","Negative"
"268","AMERICAN RESOURCE SETS RIGHTS OFFERING","{}","0","Neutral"
"269","VANGUARD TECHNOLOGIES INTERNATIONAL INC &lt;VTI>","{}","0","Neutral"
"270","THOMSON MCKINNON U.S. GOVERNMENT FUND DIVIDEND","{}","0","Neutral"
"271","THOMSON MCKINNON INCOME FUND DIVIDEND","{}","0","Neutral"
"272","(OAKRIDGE HOLDINGS INC) 2ND QTR DEC 31 NET","{}","0","Neutral"
"273","GENERAL COMPUTER CORP &lt;GCCC> 3RD QTR FEB 28 NET","{}","0","Neutral"
"274","UK EQUITIES SEEN DUE FOR DOWNWARD CORRECTION","{}","0","Neutral"
"275","ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND","{issues=-1}","-1","Negative"
"276","BRIERLEY OFFER FOR PROGRESSIVE STILL VALID","{progressive=1}","1","Positive"
"277","AVATAR HOLDINGS INC &lt;AVTR> YEAR NET","{}","0","Neutral"
"278","NORWAY OFFERS 11TH LICENCE ROUND OFFSHORE BLOCKS","{}","0","Neutral"
"279","PERCEPTION TECHNOLOGY &lt;PCEP> TO TAKE CHARGE","{}","0","Neutral"
"280","INSPECTORATE ISSUES 200 MLN MARK EQUITY EUROBOND","{issues=-1}","-1","Negative"
"281","Bundesbank buys dollars for yen - Frankfurt dealers","{}","0","Neutral"
"282","REUTERS TO BUY I P SHARP OF CANADA","{sharp=1}","1","Positive"
